Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,UST_ID,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,Manufacturer_Part_Number
1,,C_Small-Device-ISM02A-rescue,C2,100nF,C_0805_2012Metric,1, ,,C0805_100n 5c70984812875079b91f8bf2,,,,,
2,,C_Small-Device-ISM02A-rescue,C1,10uF,C_0805_2012Metric,1, ,,5c70984812875079b91f8bbe,,,,,
3,,D_ZENER-MLAB_D,D1,"BZV55C-5,6V",D_SMA,1, ,,5c70984512875079b91f88b2,,,,,
4,F-RAM Excelon LP 40 MHz 8-EIAJ,CY15B108QN-40SXI,IC1,CY15B108QN-40SXI,SOIC127P800X203-8N,1, ,https://www.mouser.in/datasheet/2/196/CYPR_S_A0011123055_1-3004611.pdf,,2.03,727-CY15B108QN-40SXI,https://www.mouser.co.uk/ProductDetail/Infineon-Cypress/CY15B108QN-40SXI?qs=P1JMDcb91o4DSS%2FkAQM5uA%3D%3D,Infineon / Cypress,CY15B108QN-40SXI
5,2x04 2.54 mm pitch header,HEADER_2x04,J2,HEADER_2x04,Straight_2x04,1, ,,,,,,,
6,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,Umin ... Umax,Straight_2x03,1, ,,,,,,,
7,,HOLE,M3 M4,HOLE,MountingHole_3mm,2, ,,,,,,,
8,,HOLE,M1 M2,HOLE M3,MountingHole_3mm,2, ,,,,,,,





Project info:
Schematic:,FRAM01A
Variant:,default
Revision:,
Date:,2023-04-13_10-25-38
KiCad Version:,6.0.11+dfsg-1~bpo11+1
Statistics:
Component Groups:,8
Component Count:,10
Fitted Components:,10
Number of PCBs:,1
Total Components:,10
